timestamp,bid,ask
2024-01-02T00:00:00.000Z,150.24523,150.24926
2024-01-02T00:00:01.165Z,150.25124,150.25517
2024-01-02T00:00:02.367Z,150.25306,150.25703
2024-01-02T00:00:02.954Z,150.24382,150.24850
2024-01-02T00:00:03.614Z,150.22246,150.22726
2024-01-02T00:00:05.021Z,150.23403,150.23725
2024-01-02T00:00:05.871Z,150.22410,150.22790
2024-01-02T00:00:07.108Z,150.21514,150.21940
2024-01-02T00:00:08.349Z,150.22399,150.22763
2024-01-02T00:00:09.227Z,150.21885,150.22274
2024-01-02T00:00:10.437Z,150.20698,150.21091
2024-01-02T00:00:11.755Z,150.19898,150.20368
2024-01-02T00:00:12.371Z,150.20571,150.20921
2024-01-02T00:00:13.423Z,150.21077,150.21544
2024-01-02T00:00:14.302Z,150.21961,150.22358
2024-01-02T00:00:15.358Z,150.21353,150.21708
2024-01-02T00:00:16.537Z,150.21504,150.21881
2024-01-02T00:00:17.645Z,150.21832,150.22183
2024-01-02T00:00:18.775Z,150.20711,150.21121
2024-01-02T00:00:20.196Z,150.19963,150.20438
2024-01-02T00:00:20.860Z,150.20448,150.20888
2024-01-02T00:00:22.080Z,150.21654,150.22101
2024-01-02T00:00:23.007Z,150.21222,150.21620
2024-01-02T00:00:23.544Z,150.20156,150.20610
2024-01-02T00:00:24.081Z,150.21737,150.22177
2024-01-02T00:00:25.396Z,150.21400,150.21778
2024-01-02T00:00:26.482Z,150.21420,150.21862
2024-01-02T00:00:27.504Z,150.21895,150.22343
2024-01-02T00:00:28.145Z,150.22077,150.22432
2024-01-02T00:00:29.036Z,150.22360,150.22779
2024-01-02T00:00:30.319Z,150.23303,150.23625
2024-01-02T00:00:31.125Z,150.22196,150.22538
2024-01-02T00:00:31.896Z,150.21840,150.22232
2024-01-02T00:00:32.664Z,150.21893,150.22345
2024-01-02T00:00:33.353Z,150.22140,150.22498
2024-01-02T00:00:34.253Z,150.21928,150.22315
2024-01-02T00:00:34.991Z,150.22502,150.22899
2024-01-02T00:00:35.787Z,150.24029,150.24415
2024-01-02T00:00:36.465Z,150.24221,150.24628
2024-01-02T00:00:37.938Z,150.24064,150.24517
2024-01-02T00:00:39.119Z,150.24184,150.24598
2024-01-02T00:00:40.589Z,150.25656,150.26036
2024-01-02T00:00:41.788Z,150.24988,150.25396
2024-01-02T00:00:43.182Z,150.24653,150.25124
2024-01-02T00:00:44.669Z,150.25458,150.25783
2024-01-02T00:00:45.209Z,150.26026,150.26466
2024-01-02T00:00:46.403Z,150.26080,150.26406
